document_id,customer_id,doc_type,created_at,title,language,format,content
D000011,C0002,compliance_summary,2023-12-07T15:44:16,Compliance Summary,en,markdown,"# Compliance Summary

Business: Summit Enterprises
Region: Territories
Relationship length: 8.1 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000012,C0003,financial_statement,2025-01-02T15:46:05,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: North Retail
Industry: Manufacturing
Reported annual revenue: 6,567,228 CAD

## Income Statement (simplified)

- Revenue: 6,567,228 CAD
- Cost of goods sold: 4,056,360 CAD
- Payroll: 1,209,574 CAD
- Rent and occupancy: 405,404 CAD
- Other operating expenses: 1,105,593 CAD

**EBITDA (approximate): -209,703 CAD**

## Notes

- Loan request under review: 120,814 CAD
- Figures are rounded and based on management provided statements.
"
D000013,C0003,tax_return,2025-05-05T15:46:05,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: North Retail
Region: Alberta
Tax year: 2024

## Income

- Gross business income: 6,567,228 CAD

## Deductions and expenses

- Deductible expenses: 5,135,389 CAD
- Taxable income: 1,431,839 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 329,322 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000014,C0003,bank_statement,2024-04-24T15:46:05,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: North Retail
Region: Alberta

## Cash inflows

- Sales deposits: 568,790 CAD

## Cash outflows

- Payroll: 150,763 CAD
- Rent and occupancy: 59,208 CAD
- Operating expenses and suppliers: 99,805 CAD
- Loan payment: 1,145 CAD

## Month end summary

- Net cash flow (approximate): 257,869 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000015,C0003,bank_statement,2024-01-21T15:46:05,Bank Statement – Month 2,en,markdown,"# Bank Statement – Month 2

Business: North Retail
Region: Alberta

## Cash inflows

- Sales deposits: 492,207 CAD

## Cash outflows

- Payroll: 139,092 CAD
- Rent and occupancy: 49,773 CAD
- Operating expenses and suppliers: 114,245 CAD
- Loan payment: 1,145 CAD

## Month end summary

- Net cash flow (approximate): 187,952 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000016,C0003,underwriting_memo,2024-01-14T15:46:05,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: North Retail
Loan product: Term Loan
Requested amount: 120,814 CAD
Reported annual revenue: 6,567,228 CAD
Internal risk rating: 4 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 2

## Leverage and capacity

- Requested amount is conservative relative to reported revenue.
- Overall risk profile is elevated and may require additional conditions or collateral.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- There is a non trivial risk that the client may refinance or move their relationship if pricing is not competitive.
"
D000017,C0003,compliance_summary,2025-02-02T15:46:05,Compliance Summary,en,markdown,"# Compliance Summary

Business: North Retail
Region: Alberta
Relationship length: 3.0 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions suggest frustration with pricing and service levels, which may increase the chance of relationship exit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000018,C0004,financial_statement,2024-08-08T15:47:57,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Green Consulting
Industry: Hospitality
Reported annual revenue: 1,697,935 CAD

## Income Statement (simplified)

- Revenue: 1,697,935 CAD
- Cost of goods sold: 910,194 CAD
- Payroll: 453,968 CAD
- Rent and occupancy: 187,693 CAD
- Other operating expenses: 260,927 CAD

**EBITDA (approximate): -114,847 CAD**

## Notes

- Loan request under review: 352,911 CAD
- Figures are rounded and based on management provided statements.
"
D000019,C0004,tax_return,2024-05-31T15:47:57,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Green Consulting
Region: British Columbia
Tax year: 2024

## Income

- Gross business income: 1,697,935 CAD

## Deductions and expenses

- Deductible expenses: 1,338,903 CAD
- Taxable income: 359,032 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 82,577 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000020,C0004,bank_statement,2024-04-02T15:47:57,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Green Consulting
Region: British Columbia

## Cash inflows

- Sales deposits: 129,650 CAD

## Cash outflows

- Payroll: 30,596 CAD
- Rent and occupancy: 9,846 CAD
- Operating expenses and suppliers: 22,147 CAD
- Loan payment: 1,923 CAD

## Month end summary

- Net cash flow (approximate): 65,138 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000021,C0004,bank_statement,2024-02-23T15:47:57,Bank Statement – Month 2,en,markdown,"# Bank Statement – Month 2

Business: Green Consulting
Region: British Columbia

## Cash inflows

- Sales deposits: 131,872 CAD

## Cash outflows

- Payroll: 40,777 CAD
- Rent and occupancy: 13,765 CAD
- Operating expenses and suppliers: 20,749 CAD
- Loan payment: 1,923 CAD

## Month end summary

- Net cash flow (approximate): 54,658 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000022,C0004,bank_statement,2023-11-08T15:47:57,Bank Statement – Month 3,en,markdown,"# Bank Statement – Month 3

Business: Green Consulting
Region: British Columbia

## Cash inflows

- Sales deposits: 116,757 CAD

## Cash outflows

- Payroll: 28,261 CAD
- Rent and occupancy: 6,484 CAD
- Operating expenses and suppliers: 17,687 CAD
- Loan payment: 1,923 CAD

## Month end summary

- Net cash flow (approximate): 62,402 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000023,C0004,underwriting_memo,2025-05-01T15:47:57,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: Green Consulting
Loan product: Line of Credit
Requested amount: 352,911 CAD
Reported annual revenue: 1,697,935 CAD
Internal risk rating: 4 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 5

## Leverage and capacity

- Requested amount is conservative relative to reported revenue.
- Overall risk profile is elevated and may require additional conditions or collateral.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000024,C0004,compliance_summary,2024-06-30T15:47:57,Compliance Summary,en,markdown,"# Compliance Summary

Business: Green Consulting
Region: British Columbia
Relationship length: 2.7 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000025,C0005,financial_statement,2024-01-11T15:50:01,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Urban Builders
Industry: Logistics
Reported annual revenue: 5,779,418 CAD

## Income Statement (simplified)

- Revenue: 5,779,418 CAD
- Cost of goods sold: 3,672,031 CAD
- Payroll: 1,634,384 CAD
- Rent and occupancy: 292,620 CAD
- Other operating expenses: 911,196 CAD

**EBITDA (approximate): -730,813 CAD**

## Notes

- Loan request under review: 363,638 CAD
- Figures are rounded and based on management provided statements.
"
D000026,C0005,tax_return,2024-07-30T15:50:01,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Urban Builders
Region: Ontario
Tax year: 2024

## Income

- Gross business income: 5,779,418 CAD

## Deductions and expenses

- Deductible expenses: 3,913,956 CAD
- Taxable income: 1,865,462 CAD

## Tax computation

- Applied tax rate: 21%
- Tax due: 391,747 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000027,C0005,bank_statement,2025-03-02T15:50:01,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Urban Builders
Region: Ontario

## Cash inflows

- Sales deposits: 350,145 CAD

## Cash outflows

- Payroll: 86,752 CAD
- Rent and occupancy: 31,445 CAD
- Operating expenses and suppliers: 76,994 CAD
- Loan payment: 1,400 CAD

## Month end summary

- Net cash flow (approximate): 153,554 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000028,C0005,bank_statement,2024-05-24T15:50:01,Bank Statement – Month 2,en,markdown,"# Bank Statement – Month 2

Business: Urban Builders
Region: Ontario

## Cash inflows

- Sales deposits: 443,557 CAD

## Cash outflows

- Payroll: 117,195 CAD
- Rent and occupancy: 44,544 CAD
- Operating expenses and suppliers: 49,147 CAD
- Loan payment: 1,400 CAD

## Month end summary

- Net cash flow (approximate): 231,271 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000029,C0005,bank_statement,2024-04-20T15:50:01,Bank Statement – Month 3,en,markdown,"# Bank Statement – Month 3

Business: Urban Builders
Region: Ontario

## Cash inflows

- Sales deposits: 432,478 CAD

## Cash outflows

- Payroll: 104,115 CAD
- Rent and occupancy: 38,866 CAD
- Operating expenses and suppliers: 86,745 CAD
- Loan payment: 1,400 CAD

## Month end summary

- Net cash flow (approximate): 201,352 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000030,C0005,underwriting_memo,2024-10-05T15:50:01,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: Urban Builders
Loan product: Real Estate Loan
Requested amount: 363,638 CAD
Reported annual revenue: 5,779,418 CAD
Internal risk rating: 8 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 1

## Leverage and capacity

- Requested amount is conservative relative to reported revenue.
- Overall risk profile is elevated and may require additional conditions or collateral.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000031,C0005,compliance_summary,2024-02-03T15:50:01,Compliance Summary,en,markdown,"# Compliance Summary

Business: Urban Builders
Region: Ontario
Relationship length: 0.8 years

## KYC and AML status

- This is a relatively new relationship, so full KYC has been requested before disbursement.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000032,C0006,financial_statement,2024-10-26T15:52:12,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Prime Tech
Industry: E-commerce
Reported annual revenue: 74,702 CAD

## Income Statement (simplified)

- Revenue: 74,702 CAD
- Cost of goods sold: 42,222 CAD
- Payroll: 11,923 CAD
- Rent and occupancy: 3,617 CAD
- Other operating expenses: 12,380 CAD

**EBITDA (approximate): 4,560 CAD**

## Notes

- Loan request under review: 100,132 CAD
- Figures are rounded and based on management provided statements.
"
D000033,C0006,tax_return,2024-12-22T15:52:12,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Prime Tech
Region: Prairies
Tax year: 2024

## Income

- Gross business income: 74,702 CAD

## Deductions and expenses

- Deductible expenses: 47,175 CAD
- Taxable income: 27,527 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 6,331 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000034,C0006,bank_statement,2025-01-19T15:52:12,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Prime Tech
Region: Prairies

## Cash inflows

- Sales deposits: 5,286 CAD

## Cash outflows

- Payroll: 1,303 CAD
- Rent and occupancy: 372 CAD
- Operating expenses and suppliers: 738 CAD
- Loan payment: 549 CAD

## Month end summary

- Net cash flow (approximate): 2,324 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000035,C0006,underwriting_memo,2024-09-14T15:52:12,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: Prime Tech
Loan product: Line of Credit
Requested amount: 100,132 CAD
Reported annual revenue: 74,702 CAD
Internal risk rating: 7 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 0

## Leverage and capacity

- Requested amount is high relative to reported revenue.
- Risk profile is moderate with a few points to clarify.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000036,C0006,compliance_summary,2023-09-24T15:52:12,Compliance Summary,en,markdown,"# Compliance Summary

Business: Prime Tech
Region: Prairies
Relationship length: 1.0 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000037,C0007,financial_statement,2024-12-23T15:54:13,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: North Tech
Industry: Healthcare
Reported annual revenue: 3,153,446 CAD

## Income Statement (simplified)

- Revenue: 3,153,446 CAD
- Cost of goods sold: 2,099,396 CAD
- Payroll: 693,310 CAD
- Rent and occupancy: 118,362 CAD
- Other operating expenses: 489,533 CAD

**EBITDA (approximate): -247,155 CAD**

## Notes

- Loan request under review: 21,701 CAD
- Figures are rounded and based on management provided statements.
"
D000038,C0007,tax_return,2024-11-29T15:54:13,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: North Tech
Region: Atlantic
Tax year: 2024

## Income

- Gross business income: 3,153,446 CAD

## Deductions and expenses

- Deductible expenses: 2,124,719 CAD
- Taxable income: 1,028,727 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 236,607 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000039,C0007,bank_statement,2024-09-28T15:54:13,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: North Tech
Region: Atlantic

## Cash inflows

- Sales deposits: 229,019 CAD

## Cash outflows

- Payroll: 48,254 CAD
- Rent and occupancy: 26,264 CAD
- Operating expenses and suppliers: 55,710 CAD
- Loan payment: 78 CAD

## Month end summary

- Net cash flow (approximate): 98,713 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000040,C0007,underwriting_memo,2024-06-18T15:54:13,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: North Tech
Loan product: Equipment Loan
Requested amount: 21,701 CAD
Reported annual revenue: 3,153,446 CAD
Internal risk rating: 3 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 1

## Leverage and capacity

- Requested amount is conservative relative to reported revenue.
- Risk profile is currently assessed as low.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000041,C0007,compliance_summary,2023-09-22T15:54:13,Compliance Summary,en,markdown,"# Compliance Summary

Business: North Tech
Region: Atlantic
Relationship length: 3.0 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000042,C0008,financial_statement,2024-04-04T15:56:02,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Bright Tech
Industry: Healthcare
Reported annual revenue: 240,306 CAD

## Income Statement (simplified)

- Revenue: 240,306 CAD
- Cost of goods sold: 149,068 CAD
- Payroll: 36,845 CAD
- Rent and occupancy: 22,698 CAD
- Other operating expenses: 34,879 CAD

**EBITDA (approximate): -3,184 CAD**

## Notes

- Loan request under review: 145,541 CAD
- Figures are rounded and based on management provided statements.
"
D000043,C0008,tax_return,2023-11-10T15:56:02,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Bright Tech
Region: Prairies
Tax year: 2024

## Income

- Gross business income: 240,306 CAD

## Deductions and expenses

- Deductible expenses: 177,630 CAD
- Taxable income: 62,676 CAD

## Tax computation

- Applied tax rate: 21%
- Tax due: 13,161 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000044,C0008,bank_statement,2024-10-12T15:56:02,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Bright Tech
Region: Prairies

## Cash inflows

- Sales deposits: 16,070 CAD

## Cash outflows

- Payroll: 5,310 CAD
- Rent and occupancy: 1,450 CAD
- Operating expenses and suppliers: 1,834 CAD
- Loan payment: 508 CAD

## Month end summary

- Net cash flow (approximate): 6,968 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000045,C0008,bank_statement,2024-09-23T15:56:02,Bank Statement – Month 2,en,markdown,"# Bank Statement – Month 2

Business: Bright Tech
Region: Prairies

## Cash inflows

- Sales deposits: 17,719 CAD

## Cash outflows

- Payroll: 4,891 CAD
- Rent and occupancy: 1,587 CAD
- Operating expenses and suppliers: 4,303 CAD
- Loan payment: 508 CAD

## Month end summary

- Net cash flow (approximate): 6,430 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000046,C0008,underwriting_memo,2024-02-19T15:56:02,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: Bright Tech
Loan product: Term Loan
Requested amount: 145,541 CAD
Reported annual revenue: 240,306 CAD
Internal risk rating: 10 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 0

## Leverage and capacity

- Requested amount is moderate relative to reported revenue.
- Overall risk profile is elevated and may require additional conditions or collateral.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000047,C0008,compliance_summary,2025-04-30T15:56:02,Compliance Summary,en,markdown,"# Compliance Summary

Business: Bright Tech
Region: Prairies
Relationship length: 0.3 years

## KYC and AML status

- This is a relatively new relationship, so full KYC has been requested before disbursement.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000048,C0009,financial_statement,2024-12-16T15:57:58,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Blue Services
Industry: Construction
Reported annual revenue: 271,846 CAD

## Income Statement (simplified)

- Revenue: 271,846 CAD
- Cost of goods sold: 130,696 CAD
- Payroll: 53,299 CAD
- Rent and occupancy: 17,112 CAD
- Other operating expenses: 21,184 CAD

**EBITDA (approximate): 49,555 CAD**

## Notes

- Loan request under review: 302,746 CAD
- Figures are rounded and based on management provided statements.
"
D000049,C0009,tax_return,2024-07-11T15:57:58,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Blue Services
Region: Alberta
Tax year: 2024

## Income

- Gross business income: 271,846 CAD

## Deductions and expenses

- Deductible expenses: 210,617 CAD
- Taxable income: 61,229 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 14,082 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000050,C0009,bank_statement,2023-10-03T15:57:58,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Blue Services
Region: Alberta

## Cash inflows

- Sales deposits: 26,588 CAD

## Cash outflows

- Payroll: 7,157 CAD
- Rent and occupancy: 1,992 CAD
- Operating expenses and suppliers: 3,856 CAD
- Loan payment: 2,194 CAD

## Month end summary

- Net cash flow (approximate): 11,389 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
D000051,C0009,underwriting_memo,2024-08-16T15:57:58,Underwriting Memo,en,markdown,"# Underwriting Memo

Business: Blue Services
Loan product: Line of Credit
Requested amount: 302,746 CAD
Reported annual revenue: 271,846 CAD
Internal risk rating: 7 (1 low risk, 10 high risk)
Delinquencies in last 12 months: 0

## Leverage and capacity

- Requested amount is moderate relative to reported revenue.
- Risk profile is moderate with a few points to clarify.

## Underwriting view

- Debt service capacity is assessed using synthetic cash flow estimates.
- Some figures differ slightly from the tax return because of rounding and timing.

## Forward looking comments

- Client relationship appears stable and there may be room for future cross sell or upsell conversations.
"
D000052,C0009,compliance_summary,2024-10-13T15:57:58,Compliance Summary,en,markdown,"# Compliance Summary

Business: Blue Services
Region: Alberta
Relationship length: 8.7 years

## KYC and AML status

- This is an ongoing relationship with standard KYC and AML monitoring in place.
- No material AML issues have been highlighted in the synthetic data generated for this client.

## Behavioural notes

- Recent interactions do not indicate elevated AML concerns. Commercial discussions are focused on growth and product fit.

This document is a synthetic representation suitable for testing and demonstration, not a real compliance assessment.
"
D000053,C0010,financial_statement,2025-02-17T15:59:16,Financial Statements – Summary,en,markdown,"# Financial Statements – Summary

Business: Green Solutions
Industry: Hospitality
Reported annual revenue: 380,879 CAD

## Income Statement (simplified)

- Revenue: 380,879 CAD
- Cost of goods sold: 218,409 CAD
- Payroll: 103,580 CAD
- Rent and occupancy: 45,220 CAD
- Other operating expenses: 60,353 CAD

**EBITDA (approximate): -46,683 CAD**

## Notes

- Loan request under review: 140,031 CAD
- Figures are rounded and based on management provided statements.
"
D000054,C0010,tax_return,2025-04-28T15:59:16,Business Tax Return – Extract,en,markdown,"# Business Tax Return – Extract

Business: Green Solutions
Region: Atlantic
Tax year: 2024

## Income

- Gross business income: 380,879 CAD

## Deductions and expenses

- Deductible expenses: 298,337 CAD
- Taxable income: 82,542 CAD

## Tax computation

- Applied tax rate: 23%
- Tax due: 18,984 CAD

## Remarks

- Values are consistent with financial statements provided by the client.
- Minor rounding differences may appear between this return and internal spreads.
"
D000055,C0010,bank_statement,2023-10-01T15:59:16,Bank Statement – Month 1,en,markdown,"# Bank Statement – Month 1

Business: Green Solutions
Region: Atlantic

## Cash inflows

- Sales deposits: 22,649 CAD

## Cash outflows

- Payroll: 7,230 CAD
- Rent and occupancy: 2,173 CAD
- Operating expenses and suppliers: 5,208 CAD
- Loan payment: 630 CAD

## Month end summary

- Net cash flow (approximate): 7,408 CAD
- Overdraft events this month: No

These figures are a synthetic summary and do not include every transaction.
"
